-5318,-3126,-4066
2344,-8219,2186
-5864,-5996,4905
3167,5208,3625
9317,369,-2500
2545,6161,2087
-4386,-4016,3772
3181,-5403,-3101
2334,-2236,6256
1698,2632,-6243
-5271,-2199,5521
6800,3449,2279
-4919,-5541,2752
-6082,3589,2020
-4354,4736,-3453
-6451,-4001,3748
4762,5122,1389
1907,6306,1858
-5770,1723,-3645
4032,4065,4461
-2691,-6482,-2086
-3056,-5410,-3881
5509,2693,3875
-4639,3068,-4456
-1026,-2912,6547
2545,-1551,-6507
471,-5354,-4617
-6931,655,-1525
1273,-5062,4983
-4629,-3674,3969
-6360,-3389,268
2298,5687,-3795
-5942,1702,-3883
3286,-5637,3346
-6067,2706,2915
-3328,3831,5082
-4746,4160,-3533
4512,-1720,5357
2548,6829,397
-7115,-113,1767
2255,2817,6385
-5089,-797,5097
-3392,3251,-5455
-3831,5628,-2667
1042,-5636,4650
-2950,-5906,3145
6809,-1476,2172
4544,-770,5447
2159,-5166,-5210
-1755,6593,-2823
-6347,-3068,950
7065,-5591,3712
-4737,5270,-797
2816,2628,-6298
-5751,-1049,-4297
2503,1941,-6516
-1768,1122,-9617
-6256,-4103,6680
-7329,-6105,-1481
8424,3091,-4236
7429,-6244,-873
-1396,6825,2353
6136,-3204,-2586
3897,5754,2423
-2700,-3754,5665
-1376,-7206,88
3991,4153,-4349
-2530,-3636,5551
5057,-4300,-2736
-840,7197,177
-3370,-4544,-4104
-2368,5860,-3530
-2963,-3476,-5660
-4103,4157,4084
3113,1166,6452
-4354,-3870,4464
833,7247,-552
-2464,1833,6621
4654,3183,4602
3982,-314,-6109
-7101,-149,1827
-6885,945,1602
3524,4967,-3872
6532,-37,3074
2188,6458,2706
-4,3208,-6479
-4737,-4899,-2249
-2002,-2126,6560
-2069,6474,-3541
256,-1011,9288
4084,8104,-3513
-1051,-8123,-4764
-6472,-2273,-2707
3243,6271,-226
3467,-2122,-5889
1317,3528,-5954
1881,4182,5396
-2818,728,-6616
4025,6069,-503
3237,6109,1947
-1764,4411,5451
3925,800,6178
-2299,4059,-5639
443,3375,6274
-5793,1335,-4340
587,3335,-6357
-4313,5134,-3188
4369,3088,5104
4088,5229,6543
1444,8774,1040
975,3174,6288
-2848,523,6526
5833,-1724,-3614
-5913,3320,2956
4324,1513,-6114
-1914,2402,6593
-1411,1150,6790
5607,2396,3415
3494,-4708,4184
1715,-4666,-5397
540,4366,6706
421,5274,5143
3932,2814,5655
-3997,5552,-2276
-2749,-1068,-6819
-781,-4425,-5705
-4465,227,5832
7189,-170,-1706
3752,3654,4916
439,-7206,-122
-1664,-3149,-6335
1215,342,7272
-843,5461,-4893
-5108,-3702,4154
1546,-7157,1622
-57,6699,-2364
6242,2512,2554
-1988,3780,-5774
-6878,2590,-216
3541,622,6157
7222,881,-2
2814,-3751,-5382
-3664,-372,-6401
3202,-3201,-5539
5718,1247,3697
4115,2430,-5417
-842,8740,6818
-6252,2080,-2756
946,-3487,-6456
-1625,23,-7195
-5217,-450,-5666
-3816,2344,-5717
2595,-4920,4766
1529,2973,-6667
6552,-1694,-2333
1860,4725,-5368
3063,-1194,-6663
-4638,4,-5835
1025,3312,-6578
6428,1588,-2447
-6502,1266,-3534
2148,2538,6413
-6794,-971,-2816
477,-6607,-2618
